Date,Y,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10,ft11,ft12,ft13,ft14,ft15
1988-03-02,11.870526,2539836.0,-0.135460918,-0.000992981,0.042633188,-0.007601602,-0.002226374,0.01609474,0.018444836,0.00572143,0.00130349,1.467841423,-0.007427406,-0.018488913,-0.022385547,0.012491941
1988-03-03,11.771876,2121600.0,-0.164670475,0.000159031,-0.499448579,-0.002331943,0.000766128,0.018559806,0.045880885,0.00298671,0.011468389,1.458422617,0.00260122,-0.018590157,-0.019476463,0.01696471
1988-03-04,11.60747,2441088.0,0.150588235,0.002635358,-0.053883874,0.002494681,0.001040136,-0.013297199,0.000856283,0.041848858,0.018674484,1.454505916,0.042314021,0.021781218,-0.014251971,0.00699246
1988-03-07,11.410174,1278888.0,-0.476099182,0.001549508,-0.139484567,0.002338316,0.000184443,0.030516262,0.015472161,0.003272977,0.047899388,1.416847052,0.039674347,-0.005949047,-0.023140859,0.032629009
1988-03-08,11.804763,2282436.0,0.784703586,-0.00081418,0.013488009,-0.006363033,0.000322173,0.013687937,0.008625103,0.012290994,0.00426455,1.433783773,-0.017478915,0.001443237,-0.019700452,0.005808307
1988-03-09,11.640349,1575600.0,-0.309684916,-0.000338125,0.096721183,-0.006004018,0.001082669,-0.016340347,0.017267144,0.015801796,0.007203834,1.419536746,-0.029897115,0.005993809,-0.025194542,0.023460409
1988-03-10,11.311524,1747200.0,0.108910891,0.001148257,-0.103557907,0.002034504,0.002541326,-0.044577159,0.011991941,0.002238714,0.005972114,1.407762652,0.005099533,0.018342471,0.023754357,0.00331711
1988-03-11,11.475933,3121404.0,0.786517857,-0.000928789,-0.075289399,-0.003999266,-0.001656107,0.00042571,0.005362061,0.021641334,0.001936517,1.41008415,0.004377046,0.01318639,-0.0226678,-0.01219475
1988-03-14,11.475933,1367340.0,-0.561947124,0.00015942,-0.036993556,-0.001404742,-0.006344416,0.025588801,0.021553364,0.012905178,0.002742885,1.40520664,0.006473204,-0.006996696,0.021386599,-0.001629146
1988-03-15,11.475933,1936584.0,0.416314889,0.000809109,0.203066302,0.002608771,-0.00275827,-0.005451696,0.003019757,0.000742167,0.000429566,1.434296647,0.013501094,0.004153243,0.002746968,0.028789288
1988-03-16,11.673232,1863576.0,-0.037699372,0.001254731,0.145076189,8.9e-05,0.002619969,0.029985902,0.010071682,0.081301912,0.008420713,1.449026144,-0.00478806,-0.028877845,0.003979599,-0.005722562
1988-03-17,11.738997,2385240.0,0.279926335,0.00268086,-0.259656491,0.000306476,-0.001888041,0.014513635,0.047734824,0.02529199,0.047081975,1.435747528,-0.004191435,-0.029765821,0.016556019,0.006408788
